entity1,entity2
ACTR10,DYNC1I1
ITGA7,MYC
LRRFIP1,SYNPO
INTS3,POLR2A
LEO1,TCF7L2
ARF4,COPB2
ERG,WNT1
E2F3,TFDP2
BAZ2A,DNMT3B
ARF5,RAB11FIP3
DDX10,ZNF629
DDX17,SF3B4
DEPDC5,NPRL3
GOT2,HPD
MED28,TRIP4
NSUN2,UBA52
COPA,COPG1
CENPV,NOC2L
CCL2,NFKB1
DDX47,RPL19
CDK19,CDK8
C8orf33,NOL6
CSNK1D,SEC31A
C8orf33,DDX50
LARP7,NOL10
GRWD1,UBA52
GPD2,TKFC
DIAPH1,PFN1
CETN2,SUMO1
LIG1,RFC1
GNAI3,PRLHR
CYFIP1,WASF3
CTTN,PXN
DIMT1,RPL18
CD99L2,PILRA
C12orf43,NOP16
GLE1,NUP85
CCDC137,CCDC59
GRAP2,LAT
DDX56,RBM28
GMFB,HDDC2
CDC25C,YWHAQ
BRPF3,KAT7
DIP2A,PLEKHH3
CSNK2A2,CTDP1
DIAPH1,UBA6
BBS7,BBS9
GAR1,ZNF770
CTBP2,MECOM
MYC,USP22
NDUFAB1,NDUFV2
DYRK1B,MAP2K3
DDX47,RPS5
HNRNPU,RPS10
GGA3,HGF
GSTP1,PCBP3
NDC1,NUP54
MRPL48,YARS2
AGAP2,FYN
DHX16,SNRNP200
ADD3,EPB41
CENPC,SHCBP1
LLGL1,LLGL2
CUL1,RNF7
AXIN1,TP53
ATP5F1B,ATP6V1E1
KAT2A,TAF7
ATXN7L1,KAT2A
DAP3,MRPL34
DDX47,RPL4
DUSP1,MAPK9
CAND1,CUL3
DDX56,PUM3
API5,HMGB2
AQR,HNRNPA3
EMC4,EMC6
CDK1,LBR
NDUFA12,NDUFS6
DDX17,KPNB1
CLCN3,CSPG4
DDX24,ZCCHC9
CUL7,MRPL36
EIF2S3,RPS23
AATF,SRP68
DHX16,TRA2B
LIPH,LPAR2
GLE1,NUP35
CCDC22,COMMD8
CDKN1B,XPO1
GLE1,NUP188
CCDC137,RSBN1
GOLGA2,SEC13
DDX20,GEMIN8
GTF3A,GTF3C4
HP1BP3,SRP68
ARHGDIA,NGFR
ATP5F1E,ATP5PO
DDX17,DDX3X
DDX5,U2AF2
FBXL15,MYCBP2
CTTN,MAPK3
MRPL15,MRPL33
DKC1,IMP4
HDAC1,OGT
BRIX1,DRG1
EEF2,SLC25A3
G3BP2,YBX1
LSM7,U2AF1
CCNT1,SUPT5H
LARP7,RPL7L1
CAMKK2,KIF22
NUP93,SH2D3A
LYAR,RPL13A
CHML,DENND4B
JAK2,MYC
LIG1,UHRF1
CDC20,CDC23
DDX47,ZBTB11
ARSK,CERCAM
ABT1,ZBTB11
NR1H3,RXRA
CMTM4,GPRC5C
ATR,FANCI
MRPS33,MRPS9
CLINT1,GAK
AURKAIP1,MRPS18B
HAUS1,HAUS2
ATP6AP1,ATP6V1E1
EPOP,MTF2
MRPL15,MRPS7
CD4,GRAP2
CBX5,NSL1
ERCC3,GTF2E1
HNRNPU,RPL38
AAAS,NUP54
EIF2S1,USP10
ATP5F1C,ATP6V1B1
CDC25A,MYC
ACIN1,MATR3
MBD3,RCC2
CPSF1,CPSF7
ATF6,NUCB1
COX7C,NDUFA3
ADORA1,GNAI3
CHCHD10,MICOS13
GADD45GIP1,RPUSD3
DHX15,SNRNP27
MRPL16,MRPL34
CBX3,H3C13
CANX,DDX47
FASTKD2,MRPL48
GPN1,POLR2L
MRPL35,MRPL46
NIFK,RPS24
ABT1,TTF1
CAPZB,PHLDB2
BRIP1,RAD51
DRG1,NVL
HNRNPM,PABPC1
CYSLTR1,GNAI3
DHX29,RSBN1
EP400,EPC1
NAA35,PPIL2
MNAT1,POLR2K
ARVCF,TJP2
EIF2S1,RPL26L1
NDUFA8,NDUFAB1
CUL7,MRPL12
CLTC,NTRK1
BICD1,GALNT1
ACTB,AFAP1
DHX15,PPIL3
APOC3,APOE
G3BP1,RPL5
AATF,FCF1
MTM1,PIKFYVE
AP3D1,AP3M1
KIF23,PRC1
CEBPZ,GNL2
DNM1L,HPCA
GAR1,RSL1D1
CYCS,ITPR3
AP2M1,KIF4B
MAT2A,MAT2B
DDX5,MSH6
FAAP24,FANCI
EIF3L,FAU
CCDC137,RRP9
GTF2E2,MED10
BRIX1,C8orf33
MCM2,RBL2
CDK12,DDX5
DHX16,SF3B1
ABHD11,HAAO
NOP14,UTP20
AXIN1,LRP5
GADD45GIP1,MRPS30
BUB1,KIF23
DDX47,ZNF668
MRPL40,MRPL49
G3BP1,TIA1
NDUFA8,UQCRFS1
KMT2C,WDR5
KYAT3,LACTB2
NEXN,SPECC1
BRIX1,RPL27A
NR4A2,PITX3
C12orf43,LARP7
AP1S1,CLTC
IGF2R,VPS53
CALML3,LIMA1
LARP1B,LYAR
CHERP,DDX56
KRR1,NOL11
GTF2F2,GTF2H3
CCNY,GAP43
G3BP2,RPS4X
GALNT6,GCNT1
CDC7,ESCO1
FYN,PRNP
BIN1,MYC
GSK3A,NIFK
ATRIP,DNA2
FKBP5,TAB2
MATR3,SRRM2
CXCL8,ERG
DDX39B,RBM25
BACH2,MAFF
HNRNPU,LEMD3
BRIX1,ZNF22
CTBP1,HMG20B
EIF3K,EIF3L
MDM4,UBA52
BLOC1S1,HPS3
ACTB,LIMCH1
CCDC85B,RIF1
ERLIN1,ERLIN2
LIMS1,VCL
CRK,FN1
HEXIM2,LARP7
NPLOC4,UBXN7
MRPL40,MRPL48
DDX17,SRRM2
ALG5,DOLPP1
LARP7,ZCCHC3
DDX39B,SLU7
ARID1B,NCOA3
OGT,SAP30
CCDC61,WDR90
HAGHL,HIRIP3
HNRNPM,NOP56
ACTG1,CEP162
HNRNPM,PNN
DDX47,ZSCAN25
DTD1,SNRPA
DVL3,FZD2
DDX10,DKC1
DHX35,HNRNPC
FYN,TIAM1
CCDC137,NKRF
BCKDHB,PPM1K
DRAP1,TBP
DIMT1,PABPC1
CBX3,COBLL1
CHST10,HYAL2
ATM,KDM4A
CALCOCO2,OPTN
DDB1,KIF23
DDX21,NOP16
ACTL6A,RBBP4
CTBP1,CTBP2
NIP7,NOP16
APOBEC3A,CUL2
EIF2S1,RPL7A
ATP5F1C,MT-ATP8
DKC1,NHP2
C8orf33,RSL1D1
CHRAC1,POLE2
CTTN,PRKCD
DVL2,VANGL2
MRPL40,MRPS5
DHX38,KIF23
ABLIM1,LIMA1
GTF2H4,NUDT21
CAPZA2,CARMIL2
CD47,CLCN3
CCNB1,MASTL
NIFK,RPS13
NSUN2,RPS16
CDK4,MNAT1
BMP2K,MYO6
MRPL35,MRPS27
CUL1,GH2
ITGB3,ITGB5
GRWD1,RPS16
AP2M1,AP3S1
CDK5RAP2,CENPJ
GTF2H3,POLR2C
LYAR,RSL24D1
MRPL48,MRPL58
EIF2S1,EIF3I
AZI2,HSP90AA1
CHEK1,CLSPN
EIF3I,EIF3K
KRI1,RPL13A
HNRNPU,RPL37
GNAO1,NUFIP1
HNRNPM,RBMX
DNAJC7,NAA50
EEF2,ILF2
BRIX1,DDX27
MRPL4,MRPS21
CUL1,FBXO22
KMT2C,KMT2D
KAT5,UBE2N
APC,CSNK1A1
DDX39B,LSM7
ANXA1,TRIM29
DDX47,RPF1
DDX24,ZC3HAV1
ACTB,RALA
LTV1,NMD3
NEXN,PLEC
DHX29,NKRF
GRWD1,HSP90AA1
DOCK3,FYN
GATAD2B,MBD2
NOP14,SNU13
DDX39B,PRPF6
DHX57,NIFK
DDX56,RPL15
ATM,DBF4
MAX,MXD1
CCT2,CCT5
CCNDBP1,SEC14L1
AQR,SRSF5
DDX17,HSPA5
EYA3,KAT5
CPSF3,SCARA3
NDUFA11,UQCR10
DDX47,MEPCE
EEF2,RPL35A
HDAC7,KAT5
CCNC,MED11
BRIX1,RPL10A
FGF5,FGFR1
AATF,CCDC59
NUP93,POM121
ABT1,RPL17
MRPL22,MRPS23
EPC1,ZNHIT1
MKI67,NOC2L
CCT2,PFDN2
OGT,RBBP7
MFAP1,UBL5
DDX24,ZNF689
GTF2F2,MNAT1
CLIC4,CSK
C20orf27,CCDC85B
FANCM,RAD52
AP5B1,AP5M1
MAIP1,PMPCB
DDX24,ZNF512
H4C6,KAT2A
CREBBP,IRF9
MLH3,MSH4
CEP192,MTMR4
CDKN1B,SRC
ACTB,SAP18
CORO1C,CORO2A
C8orf33,ZNF771
AP2M1,NTRK1
NUP153,TPR
MED10,MED6
ITGB1,PTK2
CCDC85B,PPP1R2
CLCN3,OSTM1
HNRNPU,PRPF19
DRG1,ZCRB1
ATF6,MBTPS1
DHX16,SF1
DIMT1,WDR43
GTF2E1,GTF2E2
CDKN1A,E2F4
ATP6V1E1,ATP6V1G2
CCND2,MYC
AXIN1,PPP1CA
ARID4B,BRMS1
NOL6,NOP16
EMG1,RPS6
BCAS2,SMC1A
DDX10,IMP4
EMX2,HOXA10
NKRF,YBX3
DDX10,WDR36
DDX1,HNRNPM
MBD2,SMARCE1
MRPL35,MRPS22
NFKB1,POLR1E
AATF,RSBN1
CFL2,TESK1
CSNK2A1,CSNK2A2
C8orf33,RRP1B
GTF3C2,TOP1
CCNK,NCBP2
DDX24,FYTTD1
GAK,PIK3C2A
ITGB1,VEGFD
DDX5,DNAJC8
DDX17,DDX46
CXCR4,ERG
LUC7L3,TTC14
BCAS2,DDX23
C8orf33,PES1
CTDP1,RPAP1
EIF2S1,RPL26
FYN,PTPRC
LUC7L3,PUF60
CCT2,PTGR2
NME1-NME2,NME4
GFM1,MRPS5
LUC7L3,SRSF11
EIF2S3,TUBA1B
CDK2,E2F4
DDX24,RPL26L1
DVL2,PTK2
DDX5,TXNL4A
EP400,KAT5
FBXO25,SKP1
FANCI,PHLPP1
DDX21,LARP7
FLII,LIMA1
DDX47,GNL3L
CAPZA2,SVIL
DDX39B,NCBP3
ANKRD11,TBL1XR1
LSM2,MFAP1
CCT2,PTGES3
FABP3,GOT2
BRIP1,KAT5
DDX24,MRPS26
EPC1,VPS72
CCT5,PPP2CB
CTTN,TPRN
CUL1,RPS27A
NCOA3,TRIM33
GAR1,RRP8
CTDP1,POLR2J2
BRIX1,LARP1
NOP16,PPAN
ATF4,EIF2S1
G3BP2,SLC25A4
C8orf33,NOP16
NELFB,SUPT5H
MYH9,MYLK
MED17,POLR2E
FANCM,FBH1
AQR,TFIP11
COMMD1,CUL3
CENPH,CENPK
KAT2A,SGF29
CUL4A,NUP93
ERG,ICAM1
CAMKK2,DAPK1
LAMTOR3,SLC38A9
MAPK1,MAPKAPK2
NDUFB1,NDUFB5
ANAPC5,CDC16
CD2BP2,LUC7L3
ERAL1,MRPS7
ACTRT1,HMGB2
GALNS,GUSB
BLOC1S4,HPS3
CHCHD1,RNF138
LSG1,RPL3
C7orf50,MRPS22
MED17,MED9
ABI2,RAC1
KRI1,RSL24D1
CUL3,WNK1
BTAF1,DDX20
MAT2A,MTR
DCAF13,PDCD11
DMTN,SYNE1
MRPL11,MRPS33
DDX17,HNRNPR
MBD3,NPAT
BICD1,DYNLL1
DDX56,RPS24
EIF2S1,RPS9
DDX50,LYAR
MRPL15,MRPS35
CFL2,SSH1
DCAF13,NOP56
MAPKAPK2,MEF2D
IGF2R,INS
NOP16,SPOUT1
DHX15,SNRPB
HP1BP3,RRP9
ESYT1,GHDC
CDC40,HNRNPK
BRIP1,EXO1
DDX5,HNRNPA3
NDUFA5,NDUFAF1
ELMO2,VEGFA
GNAT1,METAP2
DDX10,SRP68
DDX39B,MOV10
EPN2,EPS15
ESF1,HP1BP3
HNRNPU,NR3C1
DDX47,SMARCA5
ASPM,BRCA1
KNL1,NUF2
ACADSB,DUS3L
MSMO1,NSDHL
LUC7L3,PRPF40A
AP3D1,BLOC1S5
DARS2,PDPR
BCAS2,CDC40
CCNY,EPHA2
CBX3,L3MBTL1
DDX24,ZNF189
CCDC85B,PPP1CB
C5,CLU
MYL12B,MYLK3
MFAP1,SF3B6
ACTB,MYH10
DDX5,RANBP2
LAMTOR3,RPTOR
HP1BP3,NOC3L
COX4I1,NDUFS6
MRPL35,MRPL54
DDX47,SKIV2L
CFL1,DST
CDK2,ID3
KLF10,PSMC3
MAPKAPK2,RTN4
HGH1,MLST8
FTSJ3,NOP16
DHX15,NAT10
CCDC137,RBMX2
EPS15,RALBP1
ITGB1,NPNT
CETN2,XPC
ERLIN2,OS9
ANKRD13A,WWP2
GAR1,NSA2
CHEK1,MCM10
NACA,RPL23
HNRNPM,IGF2BP1
KCTD2,POLK
G3BP1,SAP130
AATF,NKRF
DHX30,HP1BP3
BRCA1,CDC6
DHX35,SF3A1
DHX29,EIF1AX
GOT2,LDHA
DNM1L,MAPRE3
KIAA1522,WASF2
ARF4,COPG2
CTNNA1,JUP
LARP7,TSR1
DHX15,RBM15
HP1BP3,NKRF
CDH13,DNM1L
MRPL22,RPS19
ATR,ATRIP
LYAR,RPL29
CUL3,DCAF4
NDUFA12,NDUFS2
GCLM,GMPR
MCM2,TONSL
OFD1,TTLL5
BCAS2,SF3B6
CCDC137,RPS17
GCLC,NFE2L2
EEF2,TUBA8
BRIX1,IMP4
CTBP2,EP300
CENPK,SUPT16H
MRPL49,MRPS16
IFNGR2,STAT1
ACAT2,DBI
ASH2L,KMT2C
LSM7,SART1
GTF2H4,PTBP1
CENPA,OIP5
MRPL53,MRPS28
NOP16,PWP1
NKRF,ZNF770
MAU2,NIPBL
MRPL46,MRPS25
MRPL34,MRPL41
ELMO2,ZNF398
MCM7,ORC1
MRPL44,MRPS33
DOP1A,MON2
GNAI3,GNG7
NDUFA5,UQCRQ
EPC1,RUVBL2
AKT1,FOXO1
MRPS2,MRPS33
ACTL6A,SUPT16H
DHX29,ZNF629
CTCF,NOP16
BASP1,LIMA1
DDX27,NKRF
KAT5,KDM4B
FAM172A,NAA35
G3BP2,SUPT16H
ARRB2,SMO
DDX21,HNRNPM
KANSL1,MCRS1
HNRNPM,RPS18
NIFK,SRRM1
MRPS22,SURF6
CSK,PXN
IGF2BP3,NKRF
MRPS18B,MRPS28
MRPL32,MRPL52
CSNK1A1,FOXG1
C8orf33,RBM34
BBS4,BBS7
ATAD3A,AUP1
GOLT1B,NDUFV2
NUP54,NUTF2
CNOT6L,TOB2
FYN,ITGA6
LUC7L3,SNRNP200
MAP2K7,MAPK8
CCDC43,PAWR
NDUFA11,NDUFAB1
CCDC137,CEBPZ
C8orf33,LARP7
DIAPH1,RSPO3
CUL7,MRPL27
NSUN2,RPL10A
CBX5,ZWINT
FN1,VWF
NDUFAB1,NDUFC2-KCTD14
DDX39B,SNRPA1
CDK12,MFAP1
MRPL15,MRPL35
LARP7,RIOX2
DLD,OGDH
NPRL2,NPRL3
CHN2,FYN
GRWD1,RPL10A
CHCHD1,MRPS2
ALOX5,MBD2
HNRNPM,TNPO1
CBX3,TRIM28
CAPZA2,GALNT2
FOXO1,SMAD2
MATR3,PRKDC
C8orf33,NSA2
HOXD12,MAFF
IL6,NFATC1
GTF3C3,GTF3C6
CUL2,HIF1A
DDX47,RPS3
CEP128,CNTRL
HNRNPM,SFPQ
BMS1,DHX29
MYC,SKP2
BACH1,HK2
CRNKL1,DHX15
IBA57,ISCA2
NDUFA11,UQCRFS1
AQR,SNW1
DYNLRB1,NUDCD3
FANCM,UBE2T
NACA,RPL34
ACTL6A,DPF1
DDX56,WDR46
MED12,MED28
BHLHE41,CD99L2
CENPC,HSPA8
BCAS2,RBM22
AP2S1,CLTC
NCOA2,NCOA3
ASXL2,FOXK2
DDX24,RPL26
MYC,YY1
MRPL19,MRPL28
GTF2H4,POLR2L
CCDC137,RPS26
C8orf33,LIN28B
NSUN2,RPL6
MRPL37,MRPL49
ATP5F1C,COX5A
ATP5F1C,ATP5MF
ADRB1,ARRB2
GRWD1,RPL6
DGUOK,DNM1L
ATXN7L1,TAF12
FOXO1,FOXO3
MRPS11,MRPS22
LARP7,NOL12
DDX17,SRSF6
KIN,PPP1R10
MAP2K7,TAB2
DDX56,FARS2
CFL2,GSTP1
DBT,DLD
ARHGEF1,CAPZB
DKC1,NKRF
DRG1,SPTY2D1
DLD,DLST
HNRNPM,PPIL1
DIMT1,RPS18
CLCN3,LAMA4
CCDC137,RIOX1
LYAR,RPS18
OGT,SIN3A
MRPL33,MRPS21
EIF5B,NSUN2
NACA,RPL15
ARF6,CYTH3
DDX17,SNRPB2
BYSL,DDX10
BYSL,NOP9
ACTB,CKB
LTBR,TNIK
GSN,PFN1
MLST8,ULK1
CD1B,FCGRT
AQR,DHX8
C7orf50,KRI1
DNAJC7,HSPA8
B4GALNT1,ITM2B
EMG1,RPS27
ABCD3,TMCO1
DDX56,REXO4
FTSJ3,LARP7
FGF13,SCN4A
DDX47,STAU2
ABT1,STAU2
HNRNPU,MTREX
MRPL34,MRPS21
CASC3,CWC25
ASPM,CCNB2
CSNK1A1,CTNNB1
GLE1,NUP160
CTBP1,VDR
MRPL11,MRPL22
LYAR,NVL
NSUN2,RPS15A
MFAP1,NCBP1
MED17,TBP
BRIX1,NHP2
MRPS21,MRPS26
DLL3,NOTCH1
CCDC137,NOC2L
CDC25C,PLK1
CD3G,CSK
GRWD1,RPS15A
MRPL11,NDUFAB1
EEF2,NCL
AKR1B15,CFL2
DDX39B,PRPF3
CPSF3,LSM10
DDX47,YBX2
MYBL1,NCL
ARHGAP25,MTMR8
ABT1,YBX2
CASC3,MAGOHB
INTS7,LENG8
BCAS2,DDX5
COMT,DBH
CDK1,FOXO1
HDAC2,MXD1
EEF2,YTHDF1
AURKAIP1,MRPS6
ID3,TCF12
IGF2R,VTI1A
ELAVL1,MAPKAPK2
CTTN,MYO5A
CDK7,GTF2E2
DDX5,SRSF5
ARID3A,LCN15
LSM7,SNRNP40
ATP6V0D1,CCDC115
ANKRD28,ARHGEF2
IFNGR2,PTPN1
BCAS2,NCBP1
DPH2,DPH5
CTCF,LARP7
DNMT3B,EED
MOGS,TUSC3
NUP205,NXF1
HNRNPM,RPL8
CALM3,NRAS
ADAM15,LCK
HGS,UBC
BTK,GNA15
MRPL27,MRPS22
GNAI3,HTR7
FANCI,USP1
FFAR4,GNAI3
ATM,DYRK2
NEK9,SSRP1
CAMKK2,MKNK1
ARHGAP1,RHOA
LSM7,PPIH
HSPA9,ITPR1
HNRNPU,YWHAE
ACTB,TBL1Y
CCDC85B,PPP1R3B
ABT1,RRP36
ACTB,EFNB1
AATF,C7orf50
CCDC137,LTV1
ADAR,KHDRBS1
HNRNPDL,KLHL12
ACTA1,GSN
CPS1,NNT
GTF2H4,POLR2G
AQR,SRSF4
ACTG1,SMARCE1
HAX1,NUFIP1
BMS1,LYAR
H3C15,MYC
G3BP2,RPS15
MASTL,PPP2R2D
MRPL17,MRPL49
ATP5F1D,ATP5F1E
CYFIP1,NCKAP1L
ACTG1,PLEC
FASTKD2,GADD45GIP1
ATP6V1F,CNST
ANKRD13A,ANKRD13D
DDX10,RSBN1
EIF2S1,NAT10
IPO13,MON2
CCDC50,GMFB
MRPS22,RPS24
BHLHE40,NR1H3
CDC25C,YWHAZ
KIF20A,PDCD10
DRG2,GCN1
GNAI2,IGF1R
KAT2A,MSH2
KPNB1,NUP153
NOP16,PABPC4
NOL11,UTP4
MRPL14,MRPS2
MRPL24,MRPS28
NDUFB5,NDUFV1
AATF,ZNF629
HNRNPU,NAP1L4
LIMA1,MYL12B
FYN,PLCG2
MED31,OPA1
DNMT3B,KIF4A
HSPA9,SDHA
MRPL17,MRPL48
BNIP1,C19orf25
CCT2,CCT6A
ACVR1B,INHBB
DRAP1,GTF2F1
MAX,MYC
FAU,G3BP2
CETN1,LAMP2
HNRNPU,TCOF1
C7orf26,INTS3
BCAS2,BUD31
AP2A2,KIF13A
C8orf33,MPHOSPH10
ACTB,IQGAP3
DDX24,NIP7
DDX17,LSM2
GOT2,SDHA
CTBP1,ZEB1
MKI67,TOP2A
BUD13,LSM7
MBD3,SAP30
AATF,RBMX2
ADAR,ZFC3H1
MIS18BP1,OIP5
CWF19L2,RBM22
EPHA2,HIC1
DCAF13,RPS18
HP1BP3,RBMX2
CANX,NSUN2
CFL2,UBE2F
ALDOA,GALE
MCRS1,TAF6
GPN1,POLR2C
IFNGR2,PTPN11
CALR,DIMT1
CDC20,CDC26
CLEC4M,ICAM3
ACTB,TLN2
CPOX,NEDD8
DDX56,GNL3
DIMT1,RPL8
CUL3,KCTD17
NUP153,NUP210
KDM6B,OGT
MRPS21,MRPS25
AXIN1,RNF146
LYAR,SNU13
ALYREF,DDX5
AATF,RPS17
ARL6IP1,RPL31
EP300,NFKB1
ANAPC10,CDC16
FBLN5,LDLR
MCM2,ORC2
MRPL17,MRPS5
MRPS22,MRPS30
AZI2,TAX1BP1
HP1BP3,RPS17
CDC42BPA,MYL9
MAP2K3,MAPKAPK3
KIF13A,RALBP1
DDX5,TFIP11
GTF2H4,TAF8
EFTUD2,LUC7L3
DNAJC14,IGSF8
CAMKK2,PRKAG1
GLG1,SPN
BIRC2,LTBR
MRPL9,MRPS33
HINT1,SRI
ACTG1,GAS2L3
MRPL18,MRPS25
LEPR,STAT5B
NOP16,ZC3H8
MBD2,MTA1
MFAP1,SF3B2
APEX1,KLHL36
NSUN2,RRBP1
CALCOCO1,MYO6
G3BP1,YBX3
IDH3A,IDH3B
GOLGA2,USO1
NDUFA3,NDUFV2
GRWD1,RRBP1
MRPL9,MRPS7
NUP107,NUP153
MAIP1,PHB2
CCDC137,WDR36
DDX10,RRP9
EMG1,NOC4L
NUP54,NUP62
EBNA1BP2,HNRNPM
KRI1,NVL
FLNC,OGDH
EIF2S1,RPS7
CSNK1A1,ZNF358
MFAP1,XAB2
DPYSL2,NUFIP1
DDX24,NGDN
MYEF2,NIFK
MFAP1,SF3A3
DDX55,DKC1
GPATCH2,HIRIP3
KYAT3,TSHR
MRPL19,MRPL49
CAPZA2,LIMCH1
LUC7L3,SF1
DHX29,NPM3
BTBD10,CDC20
LAS1L,RNF2
NUP205,NUP214
ACTB,SIPA1L3
