entity1,entity2
MRPL13,MRPL55
DPY19L1,WWC2
COG4,MTOR
MRPL24,MRPL50
EXOSC10,TBL3
DNAJB1,HSPBP1
BMPR2,GDF5
MAVS,TRAF6
DLG4,LRFN4
C1QA,C1QBP
CDK1,RACGAP1
AKT2,POU5F1
FASTKD2,MRPS18A
NAP1L4,NHP2
MRPL17,MRPL40
FBXO7,PSMB5
ITGA2B,SELP
BAG3,DNMT3B
AKT1S1,ULK1
IGF1,NTRK1
DDX54,TSR1
MRPL40,MRPL44
GTPBP6,MRPL27
DEK,TFAP2A
NACA2,RPL34
MRPS11,MTIF2
NAP1L1,RPL6
C12orf43,RRP1B
CHM,RILP
CCNL1,CDK11B
BRIX1,LARP1B
C2orf49,DDX1
ANP32E,NAP1L1
BTG3,CNOT3
MAPT,YWHAQ
AKT1,ITPR1
EXO1,RPA2
MRPL28,MRPS34
CALR,EIF5B
ING2,RBBP7
CDCA5,CDK1
CDC37,MAP3K11
CNOT6,CNOT8
EZH1,JARID2
HADHB,SLC25A5
MKRN1,SRSF3
MDFI,MYF5
CDKN2A,IKBKB
ESR2,NCOA2
NPHP4,TMEM67
BAZ1B,TSR1
BTBD3,FAM83A
BMS1,ZNF189
CASKIN2,NCK2
HDAC1,RBPJ
CD47,ITGAV
KSR1,MAP2K2
DDX50,NIP7
AR,SCN9A
IGF2BP3,IMP4
FOS,JUN
C8orf33,NOL6
DLGAP5,TTK
CALR,RPL6
LSM2,NCBP1
CCDC93,COMMD10
ADRA1A,GNA11
GLCE,PEX19
CASP8,TLR3
IL1R1,MYD88
FLT3,ID1
DGUOK,NAPB
CAD,RPS6KB1
NCK2,PDGFB
CUL4A,RPA2
CSH1,JAK2
DAPK1,STX1A
C12orf43,NOP16
NCK2,SLIT1
CCDC137,CCDC59
CDC37,RHOBTB2
GP2,GTPBP1
GMFB,HDDC2
BRPF3,KAT7
COMMD1,RELA
MRPL46,MRPS11
HAX1,SNCB
DHX9,HDLBP
IKZF5,SET
HDAC1,SMARCC2
CALR,EEF1A1
NAP1L1,RPS15A
CENPH,CENPO
COPS5,ERCC8
GSS,TIMM44
NACA2,RPL10L
ENO3,PKLR
GLS,GPM6A
H3-4,ING2
DDX54,RIOX2
AHR,PTGES3
ALKBH8,TRMT112
NOL12,RPL15
CCNA2,RBL2
C1QBP,FBL
DAZAP2,RBPMS
MAP3K14,MAP3K7
IDH3B,OGDHL
LTBP3,TGFB1
LLGL1,LLGL2
LGALS8,LRRC4B
DDX54,DDX55
LACTB,MRPS6
CARM1,NCOA2
EIF5B,HADHA
NRBF2,ULK1
FADD,MALT1
HDAC2,PRMT5
EXO1,RECQL4
DUSP1,MAPK9
MRPL24,MRPL53
CAND1,CUL3
CD2AP,PIK3R2
ARHGEF25,RAC1
NOC3L,ZNF768
BAZ1B,RIOX2
API5,HMGB2
EXOC2,EXOC8
MOV10,NOP2
IRX1,UGT8
ITGA2,ITGA5
MAK16,ZKSCAN8
CDK1,LBR
GABPB2,HCFC1
C12orf43,RTCB
EXO1,MSH6
AKT2,STK4
CHUK,LRPPRC
CARD8,CASP1
MRPL39,MRPL50
BUD13,GPKOW
IFT46,IFT52
AKT2,PHLPP1
KLHL13,KLHL24
CALR,RPS15A
NOL6,PRDM15
MRPL27,MTIF2
MYBBP1A,RPS15
HADHA,YBX3
H3-4,KAT2B
DDX20,GEMIN8
MOV10,SRSF7
GTF3A,GTF3C4
CCNB1,FOXM1
MSH6,NBN
BMPR2,LIMK1
BUD13,TFIP11
CUL4A,HSPA8
FBXL15,MYCBP2
NEDD8,PSMD14
IGF1,IGF1R
CYB5A,CYB5R3
CCDC86,DHX30
ETS2,SPARC
MTHFD1L,RPL9P7
GALK2,PGM1
KNOP1,PURA
MRPS11,RPS21
HDAC1,OGT
ANKRD17,HSPBAP1
ITPR1,PRKACB
DCTN3,GALNT1
AP3M2,BLOC1S3
DUSP16,HOXB6
BMS1,WDR75
DDX54,NOL12
NFATC3,PPP3CA
CBL,SH3GL3
KNOP1,RRP15
AURKA,MYCN
CDK2,MLH1
JAK2,MYC
CDC27,MPPE1
BTF3,RPL10A
KLHL11,PEF1
NADSYN1,NMNAT1
CMTM4,GPRC5C
MRPL27,MRPL39
EGR1,JUNB
B3GALT5,B4GALT4
CD44,F2R
NAP1L1,NPM3
INSIG2,SCAP
CCNE1,CDKN1A
MRPS33,MRPS9
CS,IREB2
MRPL13,RPL18
CDKN2D,DNMT3A
COX4I1,COX6C
F2R,GNAQ
KNOP1,SERBP1
CHM,RAB7A
CCDC86,DDX21
AAAS,NUP54
DLX5,MSX2
H3-3B,NSD3
NOLC1,TUFM
IRF3,TLR3
HDAC1,UBE2I
MYOD1,VEGFA
CHCHD10,MICOS13
BMS1,RPL26
MRPS10,RPL23A
CCDC92,PSMD11
C20orf27,TANC2
IL15,JAK1
LSM4,WTAP
AR,CDK1
MRPL35,MRPL46
CANX,MPG
DERL1,OS9
LUC7L,SRSF9
EMILIN1,MFAP3
EGLN3,HIF1A
CDK5,FOXO3
JAK1,PTPN1
IFRD2,RPL3L
AGO3,DICER1
AKT3,BAD
CNTFR,JAK1
GTPBP4,GZF1
DOHH,EIF5A2
CBFB,CDK1
CSTF2,CSTF2T
MRPL36,MRPL50
MRPL4,MRPL41
BTF3,RPL6
CCDC59,YBX2
NSD2,RPF2
BICD1,GALNT1
NACA2,SRPK2
AGTRAP,CRLF3
DAP,MTOR
CTCF,NOL6
MRPL39,MRPL53
DOCK8,EFHD2
LDB1,LHX2
IGF2BP3,NHP2
CANX,DERL1
MRPL41,TRUB2
C14orf93,SET
IFRD2,SRP14
DDX55,RPL36A
IFT88,TTC21B
DDX5,MSH6
CHUK,MYD88
BCL6,TP53
MRPS6,POLR1C
EIF3L,FAU
MRPS24,PTCD3
DDX41,MOV10
BIRC3,LTB
FAU,RPL18
BBOX1,CASP2
BMS1,SF3B2
NOS3,PRKCD
HCFC1,KAT8
IFT140,IFT43
IFNA4,IFNAR1
DOK2,RASA1
HIF1A,KDM4C
MSH6,POLE
BTF3,EEF1A1
CBX2,RYBP
H3-4,IPO4
FAU,GAGE12J
DDX55,KNOP1
EXOSC1,EXOSC5
AXIN1,LRP5
NADSYN1,NMNAT2
MRPS23,MRPS9
GMPPA,PMM1
ACAA1,SCP2
EXOSC10,EXOSC5
MRPL40,MRPL49
CBX2,PHC2
ERAL1,MRPS31
KYAT3,LACTB2
GEMIN8,SZRD1
NCK2,SEMA6A
NOL12,RPS24
C12orf43,LARP7
MRPL24,MRRF
LLPH,NSD2
AP1S1,CLTC
MYBBP1A,RPL36A
ELK1,RPS6KA5
LARP1B,LYAR
IL10RB,IL26
MOV10,ZBTB11
CASP8,SRC
NIP7,RRP1B
CCDC124,CTCF
FGFR2,FGFR3
API5,HMGB1
GNL2,NOC3L
MN1,MYBBP1A
CRBN,DET1
MAPK11,TWIST1
NAP1L1,RRBP1
CCDC124,RSL1D1
JAK2,STAT5B
BCL3,HDAC1
CDK12,NCBP1
GLI2,PRKACA
MPG,RPL18A
BMS1,RPS9
ATRIP,DNA2
C12orf43,RRP12
HTT,SGK1
NIP7,PES1
DGAT1,PLPP5
HAX1,KIF5C
CCDC86,POP1
NACA2,RPS27L
GGA1,TBC1D3
CANX,HADHA
BTF3,RPS15A
KRAS,MAP2K2
FBXL14,SKP1
HEXIM2,LARP7
HADHA,NOP10
MRPL40,MRPL48
ATXN7L3,TAF10
CHUK,NFKBIB
ING2,SAP30L
MRPL32,RPS14
ALG5,DOLPP1
LSM4,PRPF40A
ADH1B,ALDH2
COL18A1,GPC1
FYTTD1,NXF1
MPG,RPL36
ARAP1,PTK6
BRD9,SMARCA4
MOV10,TTF1
DVL3,FZD2
GLS,HPCAL4
NTMT1,TIRAP
HADHA,RPS20
IRF4,STAT3
IGHMBP2,NELFCD
HADHA,SLC25A3
FBXW5,RBX1
CHST10,HYAL2
FZD3,WNT6
DDX55,PAK1IP1
CUL4A,EED
NCK2,WASF3
DPF3,SS18L1
HEXA,NAGA
HDLBP,PRKDC
AREG,SRC
INPP5K,MAML1
ITGAL,JAK2
AK3,NT5M
NIP7,NOP16
CCDC86,NOP56
KAT6B,RUNX2
GZF1,RBMX2
MOB1A,MOB1B
FCHO1,TRIP10
LUC7L,SRSF3
EPAS1,UBE2D3
HDAC1,TBL1Y
DDB1,NEDD8
MAGEA12,MAGEA3
GLUD1,GOT1
LAMA4,LGALS8
LSM4,SF3A1
IFT27,TRAF3IP1
CENPI,CENPM
C12orf43,LIN28B
CWC22,IPO7
GAB2,PIK3CA
C1D,EXOSC10
FABP5,GSR
ARFIP2,RAC1
MRPL10,MRPL24
CCDC6,CDK2
CDK1,PKMYT1
CD8A,GATA3
GOLM1,S1PR5
IGF1R,JAK1
FYTTD1,GNL2
MRPS6,RPL17-C18orf32
MRPL40,MRPS5
CD47,CLCN3
MRPL10,MRPL27
CCDC124,RPL35A
MICB,ULBP1
GLIPR2,GNA11
GZF1,RPS17
BUD13,NSD2
MRPL27,TSFM
MYBBP1A,PAK1IP1
MYBBP1A,RPL35
HSPD1,SF3B4
AR,PARK7
CASP8,CD14
BRWD1,SMARCA4
BAD,BCL2L1
IKBKB,PTEN
AP2M1,AP3S1
GFI1,HDAC2
CDK5RAP2,CENPJ
MRPS18A,PTCD1
CALML6,ESR1
FLCN,HSP90AB1
ANGPT1,TEK
CALM1,ITPKA
CASP3,DBNL
MOV10,ZNF668
CNOT7,TNKS1BP1
CREB3,CREB3L3
DCUN1D1,NEDD8
AR,USP12
ADAM17,AREG
C1QBP,PRMT1
NIP7,RTCB
NOL6,ZNF771
BMP7,MAN2A1
MRPL27,MRPL55
GLYR1,NOL12
DHX9,MYD88
LAMP1,SZT2
CIRBP,THOC1
ANXA11,SMAP1
CDC37,HSP90AA1
CSNK1G3,GNA11
CDK9,MLLT3
MRPL4,MRPS21
KCTD17,MTMR9
ARL14EP,SARAF
HAX1,SYT1
BTF3,NPM3
CALML4,UNC13B
COIL,NOLC1
FGFR3,PLCG1
BUD13,RBM19
CCDC124,ZNF771
APC,CSNK1A1
NACA2,RPL14
GAB2,KITLG
CDK2,MRE11
GTPBP4,LARP1B
CARD8,CASP5
DLG2,HRAS
CCNT2,NELFA
ANAPC10,NEDD9
ESR1,NCOR2
MYBBP1A,RPL22
DCTN5,GALNT2
HNRNPA2B1,HNRNPH2
MRPL24,MRPL37
IGF2BP3,SYF2
MDK,PTPRZ1
NAP1L1,NHP2
ARID4A,BAHCC1
FAAP24,FANCB
BMS1,NIP7
NOL6,RRP1B
NFATC3,PPP3R1
MOV10,ZSCAN25
IGF2BP3,RBM25
ACSL1,PPARA
HDAC7,KAT5
NPB,NPW
CIRBP,SRRT
COPS7B,NEDD8
ARPC3,EFHD2
BRCA2,KAT2B
ERCC4,FANCD2
FES,PAK3
APOC3,NCOA1
AATF,CCDC59
MRPL58,MRRF
MRPL10,MRPL43
LRP5,LRP6
F2R,TWIST1
BAZ1B,RPL10
ING2,SIN3A
LSM4,THOC6
KNOP1,NOL10
BUD13,DHX8
CBL,LAT
BAZ1B,TTC37
IGF2BP3,SLU7
CCDC93,RANBP1
C20orf27,CCDC85B
CIRBP,CTNNBL1
AHCYL1,PPP1CB
CHMP1A,CHMP1B
CENPM,SSRP1
JAZF1,TRRAP
CCND2,CDK4
MAGEA12,MAGEA6
MYOD1,SP1
CCDC124,EIF3B
CWC25,MAGOHB
LRP6,WNT9A
BLM,RPA3
FKBP4,PTPN2
COX4I2,COX6A1
LSM4,TRA2B
CSNK2A1,DDIT3
IFRD2,USP10
BCL6,KDM2B
C1QBP,PRMT5
HNRNPA2B1,PRPF8
MPHOSPH10,UPF1
NOC3L,ZNF189
BMS1,RTCA
NEUROG2,NEUROG3
BUD13,KRR1
BAZ1B,RPL22L1
BAZ1A,STAG1
JAK1,LIFR
MRPL30,MRPL50
CAPN1,CAPNS2
JAK2,PTPN6
GEMIN5,SNRPE
NEDD4L,UBA52
BTN2A2,PLIN2
CCND2,MYC
ARID4B,BRMS1
ESR2,MED16
ALAD,RASA1
BOP1,HEATR1
HADHA,PWP1
GZF1,RPS26
BCL6,HDAC4
NOL6,NOP16
GTF3C3,TBP
MAGED1,NGFR
MRPL44,MRPL57
EMX2,HOXA10
LHX4,SSBP2
ACO2,CS
COX4I1,NDUFA12
BYSL,RPL35
CBFB,MAPK3
CENPT,ITGB3BP
NOLC1,RPLP0
FOS,MAPK9
CCDC97,SF3B3
GSS,MRI1
AURKB,CCNB1
CASP9,PRKACA
BTF3,RRBP1
BAD,PIM3
DDX24,FYTTD1
CCDC124,RPL5
BYSL,RPF2
FES,PAK1
MRPL36,MRRF
HAND2,RUNX2
FAU,PABPC1
IL23A,TYK2
BMS1,NGDN
COG2,MTOR
MPHOSPH10,RRS1
GZF1,RIOX1
CWC22,MAGOHB
CDCA3,DLGAP5
CYB5A,SCD
ALDH18A1,RANBP1
NUP88,SEC13
BYSL,MTHFD1
ATP6V0D1,ATP6V1E2
CNN1,GMPR
BYSL,TUFM
MAGEB1,RNASEH2B
BAZ1B,RACK1
CASP9,PARP1
DHX8,MTREX
DDX55,MOV10
GAB2,RET
IPO11,TNPO2
MGAT3,MGAT4B
LMX1B,SSBP3
CTNNB1,FOXO3
NIP7,RBM34
ARHGAP5,PTK6
ATF2,CREB5
DRD4,KLHL12
CALML6,IQGAP1
BTG2,KLK3
ESR1,HSP90AB1
CHUK,NCOA2
MOV10,RPL17
KNOP1,RPL7L1
CLEC11A,MYCBP2
ATP5PD,COX4I1
BAIAP2,WASF2
IGF2BP3,PRPF6
CENPM,RSF1
GATA1,TAL1
BUD13,SRSF4
CDK1,PCNA
NIP7,RRP12
HOXB6,HOXB7
NOL12,REXO4
LARP1B,ZC3HAV1
GZF1,NOC2L
MTREX,SNRPD2
IST1,VPS4B
BTF3,SSPN
MPHOSPH10,RSBN1L
ERCC5,GTF2H2
MAK16,ZNF574
BYSL,PWP2
MRPL46,MRPS26
FANCM,FBH1
MRPS10,RPS25
HSP90AB1,HSPD1
MAP2K1,MAP2K2
EGLN3,ELOC
COMMD1,CUL3
CENPH,CENPK
MRPL37,MRPL44
ARNTL,VWF
FOXO3,IKBKB
ABRAXAS1,MDC1
CUL4A,NUP93
ERG,ICAM1
CAMKK2,DAPK1
GOT1L1,LDHA
NDUFB1,NDUFB5
NOLC1,YBX1
MCAT,YTHDC1
BLOC1S4,HPS3
COPS4,NEDD8
DEK,PRDX5
GTF2F1,PTBP1
BRAF,KRAS
MRPS18C,MRPS24
LSM4,SF3B1
CCDC124,RRP8
HAX1,MAP2
MAT2A,MTR
MRPL11,MRPS33
NACA2,RPL13
IDH2,MDH2
DDX39A,SARNP
LCP2,TYROBP
IFRD2,RPL7A
NACA2,RPS2
NAP1L4,RPS16
CSTF2T,PAPOLB
FAU,RPS27A
IGF1R,IGF2
FAU,SPDYE11
CYP1B1,EPHX1
EZH2,MYCN
DAAM2,DVL1
CHCHD6,MTX2
CLTCL1,DNAJC6
IRF7,TLR9
APP,FOXO3
GTF3C3,SYMPK
AP2A1,L1CAM
BYSL,IMP3
CCNE2,RBL1
CHPT1,PCYT1B
MAK16,NAT10
CBX2,EZH1
AK1,PCBP4
DESI1,PSMB5
DDX54,XRN2
ALKBH1,ALKBH2
ESYT1,GHDC
F11R,RAPGEF6
LRP6,WNT5B
BRIP1,EXO1
MSX1,TBP
COA6,UQCR10
CD47,LGALS8
ERCC5,GTF2H5
DDX39B,MOV10
GZF1,LTV1
ACAT1,OXCT2
BMS1,MRTO4
CALML5,CAMK1
NEDD4,PMEPA1
MRPS26,MRPS6
BLM,SUMO2
CHD3,KDM1A
DIS3L,MPHOSPH6
BTF3,NHP2
MRTO4,NIP7
JAK1,SYK
CALR,GANAB
ACADSB,DUS3L
MSMO1,NSDHL
EXOSC4,ZFC3H1
MPG,SCAF1
ATP6AP1,ATP6V0A2
ELK1,TAOK2
ERCC2,GTF2F1
ESR1,RELA
FPGS,GGH
GNA11,P2RY1
IGBP1,STOM
EIF4H,HNRNPL
MAK16,RPS13
IGF2BP3,RPL24
ACTB,MYH10
CCNE2,CDC25A
COL18A1,LAMA1
BAG1,HSPA8
MSH6,TPR
AP2A1,PIK3C2A
HP1BP3,NOC3L
ITSN1,STON2
ATXN7L3,TADA2B
DHX9,MTREX
COX4I1,NDUFS6
MYD88,TLR3
CHD1L,H4C6
DIS3,EXOSC9
C14orf93,ZNF845
IL4,JAK1
BAZ1B,RPL37A
ETS1,FOS
LUC7L2,MYBBP1A
HNRNPA2B1,SNRPD3
EIF4A2,EIF4B
ATF7IP2,SP1
LARP1B,RPL26L1
ESR2,SCN11A
DGCR8,EWSR1
DCAF12,DCAF6
BCOR,HOXA7
IFNL3,JAK1
NOC3L,SF3B2
BUD13,U2AF2
DCAF17,DDB1
GOT2,LDHA
AGO3,TARBP2
GTF2F1,POLR2L
BAZ1B,ZNF622
KNOP1,ZCCHC3
MRPL33,MRPL41
EXPH5,RAB27A
EXOSC10,PNPT1
BAZ1B,RPS19
MCUR1,SMDT1
ATR,ATRIP
LARP1B,MRPS26
HEATR1,RPS12
GCLM,GMPR
MKNK1,MKNK2
NOL6,RRP12
CCDC124,CCDC86
COL18A1,KDR
GCLC,NFE2L2
MAP3K5,MAP3K6
MRPS11,MRPS27
HADHA,RPS12
NCK2,NTRK2
IGF2BP2,MRPS15
CHCHD6,IMMT
NIP7,ZC3H10
CBL,PTPN11
FGF18,FGFR3
CCNA2,RUVBL1
NOLC1,RPS4X
COX4I1,NDUFB8
BYSL,UTP6
CDCA4,ZNF746
JAZF1,MEAF6
LTV1,NOC3L
MAP2K2,PPP2CA
MOV10,SNRNP40
MKRN1,TRA2A
CCNA2,CDK1
FANCA,FANCF
MRPL53,MRPS28
ERCC5,RPA3
EXOC7,EXOC8
MRPS15,MRPS34
DDX21,DDX54
CCDC124,NSA2
FYTTD1,NSD2
MRPL46,MRPS25
MRPL34,MRPL41
MRPL44,MRPS33
HDAC1,PRMT6
MRPL24,RPS15
MRPL17,MRPL44
BTF3,HPSE2
FCGR2A,HCK
BECN1,GOPC
MRPL10,MRPS9
DESI1,PSMA6
DDX54,ZCCHC9
CD44,ICAM1
MPHOSPH10,RPS3A
EIF4A2,PABPC1
IFNL2,JAK1
KANSL1,MCRS1
COL2A1,COL5A1
CREBBP,IKBKB
ARPC5,FARSB
HDAC1,SMARCA5
MRPL50,MRPS14
IGF2BP3,NKRF
HOOK2,PRKCI
MYBPC3,MYL4
MRPL32,MRPL52
CSNK1A1,FOXG1
ARHGAP21,IQGAP1
CYP51A1,DHCR24
LGALS8,SPPL2A
AHDC1,SCAI
ACTRT1,CORO1B
ARHGEF26,LIN7B
CUL7,MRPL27
NSD2,ZNF22
CKB,MYH7B
FYTTD1,RBM19
HSD17B3,HSD17B8
GZF1,WDR36
NEDD4L,SCN2A
DCAF4,DCAF6
NPRL2,NPRL3
KDM1A,RBBP7
ABL1,CAT
CCS,TXN2
DLG5,TNNI1
CAPZA2,GALNT2
GABARAPL1,TBC1D17
DDX54,SDAD1
LRP5,WNT10A
ACADVL,HADHA
MPG,RPLP1
ENO2,FABP3
GTF3C3,GTF3C6
CUL2,HIF1A
FAU,IFRD2
CSNK2A1,HDAC1
HAAO,IDH2
AKR1D1,DIRAS1
HTRA2,TNFRSF1A
LSM4,SF1
AP2A1,CD74
GAB2,IL3RA
BMS1,DHX29
CD69,S1PR1
DVL1,INVS
GAB2,PIK3CD
IBA57,ISCA2
AACS,VWA8
CORO1B,PLEC
BMS1,RPS7
EEF1G,FAU
DDX21,MPHOSPH10
CTSD,MYCN
CCDC86,NVL
AXL,SHC1
ARL13B,DYNLL1
HIC2,ZBTB18
ATG101,MTOR
HDAC2,PHF12
MRPS18A,MRPS6
NOL12,SRRM1
CDC37,RPL6
ASCL1,MYT1L
CDK1,STIM1
ATF2,PLK3
ARPC4,IQGAP1
EIF3B,EIF4A2
CDK1,SQSTM1
CALR,SRPK1
C12orf43,FOCAD
EXOSC8,EXOSC9
ATXN7L3,USP27X
NAP1L1,RPL24
FYTTD1,KRR1
CAV2,SRC
NUDT2,STAT1
BCL3,ESR1
CBFB,MYB
ESR1,GNG2
DGUOK,DNM1L
FOXO1,FOXO3
MRPS11,MRPS22
GSS,RBKS
IGF2BP3,NACA2
ICAM1,ITGA4
LARP7,NOL12
IGF2BP3,RPS16
BRCA2,INTS9
CIITA,HDAC2
IKBKB,IRAK1
DDX55,ZNF629
GTF2F1,POLR2G
ESR2,PTGES3
DBT,DLD
FADD,TRADD
EXOSC8,HBS1L
MTHFR,MTRR
CCDC97,PRPF31
CCAR2,EMSY
HSD3B2,NR4A1
COBL,CORO1B
FGFR3,HRAS
BYSL,DDX10
BYSL,NOP9
ACTB,CKB
ADAM17,TGFA
EWSR1,TAF15
CIRBP,SRRM2
BAZ1B,RPL12
COBL,MYO5A
MAP3K7,RIPK1
CNTN1,HAX1
NOL12,WDR12
AHCY,TBCA
HADHA,TUBA8
IFRD2,RPS9
KSR1,MAP2K1
MSH6,PRKCZ
B4GALNT1,ITM2B
BAMBI,BMPR1A
IQGAP1,PRKACG
ATP6V1A,PRKAA1
DHX8,IGF2BP3
BRMS1L,HDAC2
CDC37,FTSJ1
MYBBP1A,RPL27A
HSD17B7,LSS
LEF1,SOX17
MPG,RPL18
HNRNPU,MTREX
MAK16,STAU1
